"Entity","Year","Adult_overweight_rate","GDP_per_capita","Continent"
"Afghanistan",2015,22.3,2108.714,"Asia"
"Albania",2015,57,11880.598,"Europe"
"Algeria",2015,61.3,11751.634,"Africa"
"Angola",2015,26.8,7967.104,"Africa"
"Antigua and Barbuda",2015,47.4,19345.018,"North America"
"Argentina",2015,62.3,23933.887,"South America"
"Armenia",2015,53.9,11506.039,"Asia"
"Australia",2015,64,47567.68,"Oceania"
"Austria",2015,53.9,52873.86,"Europe"
"Azerbaijan",2015,52.9,14852.611,"Asia"
"Bahamas",2015,63.9,34170.23,"North America"
"Bahrain",2015,65.2,48453.727,"Asia"
"Bangladesh",2015,19.4,4337.3857,"Asia"
"Barbados",2015,51.8,15789.451,"North America"
"Belarus",2015,59,18362.746,"Europe"
"Belgium",2015,59.2,49456.4,"Europe"
"Belize",2015,54.2,9387.914,"North America"
"Benin",2015,28.9,2849.8206,"Africa"
"Bhutan",2015,26.4,9877.247,"Asia"
"Bolivia",2015,55.5,7825.7666,"South America"
"Bosnia and Herzegovina",2015,52.8,12292.545,"Europe"
"Botswana",2015,42.9,13682.704,"Africa"
"Brazil",2015,55.9,15011.577,"South America"
"Brunei",2015,40.4,62170.086,"Asia"
"Bulgaria",2015,61.2,19991.818,"Europe"
"Burkina Faso",2015,22.6,1862.8547,"Africa"
"Burundi",2015,21.6,781.5793,"Africa"
"Cambodia",2015,21.1,3565.245,"Asia"
"Cameroon",2015,33,3614.7556,"Africa"
"Canada",2015,63.7,47522.14,"North America"
"Cape Verde",2015,34.2,5955.607,"Africa"
"Central African Republic",2015,25.6,795.03705,"Africa"
"Chad",2015,22.6,1853.2594,"Africa"
"Chile",2015,62.6,24464.746,"South America"
"China",2015,31.6,12612.352,"Asia"
"Colombia",2015,58.5,14215.688,"South America"
"Comoros",2015,26.6,3150.8777,"Africa"
"Congo",2015,30.3,5009.432,"Africa"
"Costa Rica",2015,60.8,18956.191,"North America"
"Cote d'Ivoire",2015,30.9,4347.778,"Africa"
"Croatia",2015,59.1,24931.486,"Europe"
"Cyprus",2015,58.8,34573.973,"Europe"
"Czechia",2015,62,36168.418,"Europe"
"Democratic Republic of Congo",2015,24.7,1032.5719,"Africa"
"Denmark",2015,55.1,52892.645,"Europe"
"Djibouti",2015,38.1,4073.6226,"Africa"
"Dominica",2015,59.7,12063.8955,"North America"
"Dominican Republic",2015,60.3,15145.47,"North America"
"East Timor",2015,20.9,3228.675,"Asia"
"Ecuador",2015,55.4,11908.216,"South America"
"Egypt",2015,62.8,9999.19,"Africa"
"El Salvador",2015,59.3,8266.723,"North America"
"Equatorial Guinea",2015,26.1,24563.5,"Africa"
"Estonia",2015,55.4,31038.805,"Europe"
"Eswatini",2015,37.9,8088.7344,"Africa"
"Ethiopia",2015,20.4,1750.6727,"Africa"
"Fiji",2015,63.2,11903.502,"Oceania"
"Finland",2015,57.6,45072.59,"Europe"
"France",2015,59,43345.785,"Europe"
"Gabon",2015,39.6,14892.036,"Africa"
"Gambia",2015,31.2,1905.823,"Africa"
"Georgia",2015,53.5,12605.14,"Asia"
"Germany",2015,56.4,51159.297,"Europe"
"Ghana",2015,31.4,4616.6196,"Africa"
"Greece",2015,61.9,28260.387,"Europe"
"Grenada",2015,50.7,13948.467,"North America"
"Guatemala",2015,55.3,8125.656,"North America"
"Guinea",2015,26.1,2053.1116,"Africa"
"Guinea-Bissau",2015,29.3,1748.0292,"Africa"
"Guyana",2015,48.7,11446.764,"South America"
"Haiti",2015,53.9,3141.0469,"North America"
"Honduras",2015,55,5180.1865,"North America"
"Hungary",2015,61.1,27528.307,"Europe"
"Iceland",2015,58.8,52142.934,"Europe"
"India",2015,19.1,5411.8755,"Asia"
"Indonesia",2015,27.4,10121.841,"Asia"
"Iran",2015,60.9,14010.858,"Asia"
"Iraq",2015,64.1,9371.214,"Asia"
"Ireland",2015,60,71490.805,"Europe"
"Israel",2015,64,37321.016,"Asia"
"Italy",2015,58,40247.83,"Europe"
"Jamaica",2015,54.8,9800.507,"North America"
"Japan",2015,26.8,40402.582,"Asia"
"Jordan",2015,69,9912.713,"Asia"
"Kazakhstan",2015,53,24290.418,"Asia"
"Kenya",2015,24.9,4163.925,"Africa"
"Kiribati",2015,78.3,2038.4865,"Oceania"
"Kuwait",2015,73,53808.125,"Asia"
"Kyrgyzstan",2015,47.6,4805.141,"Asia"
"Laos",2015,24.6,6499.0728,"Asia"
"Latvia",2015,57.5,26628.355,"Europe"
"Lebanon",2015,67.4,16611.72,"Asia"
"Lesotho",2015,38.1,2625.637,"Africa"
"Liberia",2015,30.4,1581.055,"Africa"
"Libya",2015,66.2,19108.943,"Africa"
"Lithuania",2015,59.2,30748.197,"Europe"
"Luxembourg",2015,58.3,113182.73,"Europe"
"Madagascar",2015,23.3,1508.3744,"Africa"
"Malawi",2015,22.9,1440.8423,"Africa"
"Malaysia",2015,41.6,24151.26,"Asia"
"Maldives",2015,29.6,18051.07,"Asia"
"Mali",2015,27.4,2060.0986,"Africa"
"Malta",2015,66.1,39903.938,"Europe"
"Marshall Islands",2015,83.1,4195.8345,"Oceania"
"Mauritania",2015,33.7,5151.9,"Africa"
"Mauritius",2015,31.9,20549.629,"Africa"
"Mexico",2015,64.4,19542.89,"North America"
"Micronesia (country)",2015,75.4,3429.7427,"Oceania"
"Moldova",2015,51.3,10355.539,"Europe"
"Mongolia",2015,54.8,11134.802,"Asia"
"Montenegro",2015,58.9,18266.879,"Europe"
"Morocco",2015,59.7,7687.691,"Africa"
"Mozambique",2015,25.9,1271.9619,"Africa"
"Myanmar",2015,24,3748.2942,"Asia"
"Namibia",2015,39.8,10813.227,"Africa"
"Nauru",2015,88.3,12567.816,"Oceania"
"Nepal",2015,20.4,3260.035,"Asia"
"Netherlands",2015,57.4,52974.117,"Europe"
"New Zealand",2015,65.1,41020.312,"Oceania"
"Nicaragua",2015,57.6,5563.004,"North America"
"Niger",2015,21.5,1124.41,"Africa"
"Nigeria",2015,28.3,5429.0996,"Africa"
"North Macedonia",2015,57.6,15141.992,"Europe"
"Norway",2015,57.9,62987.516,"Europe"
"Oman",2015,61.9,35188.023,"Asia"
"Pakistan",2015,27.7,4552.6055,"Asia"
"Palau",2015,84.8,18402.53,"Oceania"
"Panama",2015,58.2,28512.926,"North America"
"Papua New Guinea",2015,52.2,3813.1143,"Oceania"
"Paraguay",2015,52.8,12806.097,"South America"
"Peru",2015,56.9,12015.1875,"South America"
"Philippines",2015,27,7235.0815,"Asia"
"Poland",2015,57.8,27667.69,"Europe"
"Portugal",2015,57,31118.791,"Europe"
"Qatar",2015,71.1,101971.99,"Asia"
"Romania",2015,57.1,23937.46,"Europe"
"Russia",2015,56.7,25488.096,"Europe"
"Rwanda",2015,24.5,1844.7169,"Africa"
"Saint Kitts and Nevis",2015,51.6,28219.11,"North America"
"Saint Lucia",2015,47.3,14339.109,"North America"
"Saint Vincent and the Grenadines",2015,54.2,12762.135,"North America"
"Samoa",2015,77.2,5811.005,"Oceania"
"Sao Tome and Principe",2015,34.7,3762.5698,"Africa"
"Saudi Arabia",2015,69.1,47379.355,"Asia"
"Senegal",2015,27.8,3012.3833,"Africa"
"Serbia",2015,56.7,15581.014,"Europe"
"Seychelles",2015,36.2,26198.72,"Africa"
"Sierra Leone",2015,27.2,1513.562,"Africa"
"Singapore",2015,31.5,89160.73,"Asia"
"Slovakia",2015,55.8,28728.156,"Europe"
"Slovenia",2015,55.7,33799.727,"Europe"
"Solomon Islands",2015,54.2,2534.7258,"Oceania"
"Somalia",2015,27.8,1029.6992,"Africa"
"South Africa",2015,53.2,13887.211,"Africa"
"South Korea",2015,29.9,38828.742,"Asia"
"Spain",2015,61.3,37373.95,"Europe"
"Sri Lanka",2015,22.6,12420.553,"Asia"
"Suriname",2015,58.4,18768.795,"South America"
"Sweden",2015,56,50928.965,"Europe"
"Switzerland",2015,53.9,68159.22,"Europe"
"Tajikistan",2015,44.6,2959.9941,"Asia"
"Tanzania",2015,27,2306.6382,"Africa"
"Thailand",2015,31.6,15919.37,"Asia"
"Togo",2015,27.5,1881.9052,"Africa"
"Tonga",2015,78.1,5644.535,"Oceania"
"Trinidad and Tobago",2015,45.3,29876.98,"North America"
"Tunisia",2015,61,10749.49,"Africa"
"Turkey",2015,66.2,25594.66,"Asia"
"Turkmenistan",2015,51.1,12540.284,"Asia"
"Tuvalu",2015,81.4,3895.9304,"Oceania"
"Uganda",2015,21.9,2108.8604,"Africa"
"Ukraine",2015,58,11216.118,"Europe"
"United Arab Emirates",2015,67.2,68076.63,"Asia"
"United Kingdom",2015,63.2,44948.336,"Europe"
"United States",2015,67.4,58427.55,"North America"
"Uruguay",2015,62.4,22486.428,"South America"
"Uzbekistan",2015,47.5,6401.115,"Asia"
"Vanuatu",2015,56.4,2859.3496,"Oceania"
"Vietnam",2015,17.7,8091.0903,"Asia"
"Zambia",2015,27.3,3365.3792,"Africa"
"Zimbabwe",2015,37.7,2313.8787,"Africa"
